CountryID,Country,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019,Continent
4,Afghanistan,10,11,5,7426,1236,217,352293,107947,97970,Asia
8,Albania,1,1,3,0,0,51,2100,150,14007,Europe
12,Algeria,3,5,1,193,2279,6,30214,211095,420,Africa
16,American Samoa,,1,,,34,,,2500,,Oceania
32,Argentina,1,2,2,0,0,0,63200,727,3000,South America
51,Armenia,1,,,0,,,15000,,,Asia
36,Australia,1,,,0,,,5025,,,Oceania
40,Austria,1,,,0,,,0,,,Europe
31,Azerbaijan,2,1,2,2,31,0,709178,3294,22499,Asia
50,Bangladesh,2,3,2,29,4,9,15400,3525,270,Asia
52,Barbados,,1,,,0,,,1,,North America
112,Belarus,,,,,,,,,,Europe
56,Belgium,1,,,0,,,0,,,Europe
64,Bhutan,,1,1,,11,1,,12,20016,Asia
68,Bolivia,2,,1,100,,0,18050,,3000,South America
76,Brazil,,1,,,1,,,286,,South America
100,Bulgaria,1,1,1,1,0,0,0,527,210,Europe
108,Burundi,,1,,,3,,,120,,Africa
132,Cabo Verde,1,,1,0,,0,6306,,2500,Africa
120,Cameroon,1,,,0,,,3010,,,Africa
152,Chile,4,4,8,17,23,590,118481,60800,3902619,South America
156,China,34,48,53,762,88002,4265,11851924,54743850,8166393,Asia
170,Colombia,10,13,2,1612,42,0,1269540,53255,51251,South America
174,Comoros,1,3,1,0,1,0,200,284000,10000,Africa
188,Costa Rica,8,3,2,51,41,2,25868,129033,19212,North America
191,Croatia,1,,,0,,,2000,,,Europe
192,Cuba,1,,,0,,,5869,,,North America
196,Cyprus,1,,,2,,,1865,,,Asia
203,Czech Republic,,,,,,,,,,Europe
180,Democratic Republic of the Congo,1,4,1,9,217,3,311,129260,390,Africa
212,Dominica,,1,,,0,,,100,,North America
214,Dominican Republic,,1,,,3,,,2015,,North America
218,Ecuador,6,7,8,37,65,676,64345,497683,1322335,South America
818,Egypt,3,2,,596,98,,93018,947,,Africa
222,El Salvador,,5,3,,1162,1,,1609771,65738,North America
231,Ethiopia,1,2,,13,5,,0,11000,,Africa
242,Fiji,2,,,0,,,0,,,Oceania
246,Finland,,,,,,,,,,Europe
250,France,,,1,,,0,,,754,Europe
254,French Guiana,,,,,,,,,,South America
266,Gabon,,,,,,,,,,Africa
268,Georgia,2,2,,9,6,,3750,26462,,Asia
276,Germany,1,1,,1,0,,1525,150,,Europe
300,Greece,8,5,4,197,2,6,147781,4825,77876,Europe
312,Guadeloupe,,1,,,1,,,153,,North America
316,Guam,1,,,0,,,71,,,Oceania
320,Guatemala,6,4,8,39,42,510,30513,3980,3147312,North America
332,Haiti,,,2,,,222587,,,3739336,North America
340,Honduras,,2,,,7,,,52019,,North America
348,Hungary,,,1,,,0,,,1800,Europe
352,Iceland,1,2,1,0,0,0,0,199,0,Europe
356,India,5,4,7,11391,37705,237,719302,7133146,645928,Asia
360,Indonesia,30,49,34,3454,174923,6530,579442,7892106,1839040,Asia
364,Iran,20,24,22,42875,27757,827,999174,755084,346248,Asia
368,Iraq,1,,1,20,,10,500,,5969,Asia
372,Ireland,,,,,,,,,,Europe
380,Italy,5,6,8,35,327,352,48721,65774,58554,Europe
392,Japan,10,17,11,5589,81,20018,617831,204238,824396,Asia
398,Kazakhstan,,1,,,3,,,36626,,Asia
404,Kenya,1,1,,0,1,,0,0,,Africa
417,Kyrgyzstan,3,3,3,58,74,0,138036,16247,21780,Asia
454,Malawi,,2,,,4,,,20736,,Africa
458,Malaysia,1,1,1,72,80,24,0,5063,10,Asia
462,Maldives,,1,,,102,,,27214,,Asia
474,Martinique,,1,,,1,,,100,,North America
484,Mexico,14,4,8,131,29,476,299158,219904,1561030,North America
500,Montserrat,3,1,,32,0,,13000,200,,North America
504,Morocco,,1,,,628,,,13465,,Africa
508,Mozambique,,1,,,4,,,1476,,Africa
104,Myanmar,2,1,4,0,71,133,160,15700,23915,Asia
524,Nepal,1,,3,0,,8976,285,,5810099,Asia
528,Netherlands,1,,,0,,,20,,,Europe
554,New Zealand,1,,6,0,,205,70,,615760,Oceania
558,Nicaragua,7,1,1,180,7,2,324187,7477,12281,North America
