CountryID,Country,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019,Continent
462,Maldives,,1,,,0,,,1649,,Asia
466,Mali,3,11,10,5,63,71,8634,150643,125046,Africa
584,Marshall Islands,,1,1,,0,0,,600,360,Oceania
478,Mauritania,3,9,3,0,45,11,24400,133739,48880,Africa
480,Mauritius,,,1,,,11,,,82,Africa
484,Mexico,14,28,19,1243,413,286,980670,1896324,1560562,North America
583,Micronesia,,1,,,0,,,0,,Oceania
498,Moldova,3,3,1,56,4,1,28957,11000,12000,Europe
496,Mongolia,2,2,3,46,41,29,0,16650,8801,Asia
499,Montenegro,,2,2,,0,0,,1536,6350,Europe
504,Morocco,5,12,5,876,221,85,98000,57887,77038,Africa
508,Mozambique,3,15,14,145,1012,464,472500,6225126,944993,Africa
104,Myanmar,5,9,23,169,143,696,583964,231781,3141349,Asia
516,Namibia,,9,5,,148,116,,474300,627652,Africa
524,Nepal,13,17,24,2765,1866,1611,810434,2456318,2032647,Asia
528,Netherlands,3,,,1,,,15000,,,Europe
554,New Zealand,7,6,5,0,4,1,1155,7250,3100,Oceania
558,Nicaragua,2,8,9,15,56,132,213516,69888,353337,North America
562,Niger,4,7,16,74,34,428,106387,269034,1928244,Africa
566,Nigeria,6,28,17,134,568,1026,804000,557821,10793062,Africa
408,North Korea,6,9,10,276,1229,936,9551307,1724372,2301181,Asia
807,North Macedonia,1,6,4,0,2,30,1500,109900,143523,Europe
578,Norway,1,2,,1,0,,4000,2100,,Europe
512,Oman,,,3,,,11,,,200,Asia
586,Pakistan,20,41,40,4375,2504,5057,18152120,9574172,36525954,Asia
275,Palestine,,1,3,,0,5,,0,14500,Asia
591,Panama,4,15,10,14,66,30,21456,93667,50005,North America
598,Papua New Guinea,5,12,6,240,85,75,187008,111288,282000,Oceania
600,Paraguay,6,2,11,55,0,29,430575,14800,1183345,South America
604,Peru,15,21,21,738,484,592,877737,901090,3585579,South America
608,Philippines,37,51,57,1291,2216,788,5436155,4376698,19189105,Asia
616,Poland,2,5,3,64,30,21,225700,19850,100703,Europe
620,Portugal,2,5,2,10,9,44,3050,646,618,Europe
630,Puerto Rico,1,3,2,18,4,1,600,11885,400,North America
634,Qatar,,,1,,,0,,,1500,Asia
178,Republic of the Congo,3,4,3,2,7,19,78500,85000,9614,Africa
642,Romania,8,30,10,197,196,47,163683,212081,23024,Europe
643,Russia,21,32,21,520,497,282,1240236,874812,256716,Europe
646,Rwanda,,8,13,,135,267,,47862,60517,Africa
662,Saint Lucia,1,,2,0,,6,175,,21984,North America
670,Saint Vincent and the Grenadines,1,,3,3,,12,200,,42697,North America
882,Samoa,,1,,,0,,,0,,Oceania
682,Saudi Arabia,,7,14,,260,161,,23547,3920,Asia
686,Senegal,3,7,7,0,51,40,322500,529669,347656,Africa
688,Serbia,,2,13,,0,58,,15580,88036,Europe
690,Seychelles,1,,1,5,,0,1237,,4435,Africa
694,Sierra Leone,1,4,6,12,133,1156,200000,20970,41458,Africa
703,Slovakia,3,6,3,56,4,5,47815,330,850,Europe
705,Slovenia,,1,2,,0,3,,0,14550,Europe
90,Solomon Islands,,1,4,,21,49,,7000,83080,Oceania
706,Somalia,5,19,13,2434,140,80,1240600,939582,2362496,Africa
710,South Africa,9,14,10,314,152,199,40637,133328,344706,Africa
410,South Korea,10,11,4,783,198,138,404450,341940,31026,Asia
728,South Sudan,,3,8,,17,149,,92791,1284800,Africa
724,Spain,4,8,10,100,35,47,4529,6080,7465,Europe
144,Sri Lanka,17,17,26,170,363,1169,3325866,3836067,5681179,Asia
729,Sudan,11,10,13,330,225,526,1509206,1526626,1663459,Africa
740,Suriname,,2,,,5,,,31548,,South America
756,Switzerland,3,6,,33,27,,0,7382,,Europe
760,Syria,,2,1,,86,2,,23,235000,Asia
762,Tajikistan,11,19,14,1723,145,132,376470,467644,66258,Asia
834,Tanzania,11,12,16,421,175,175,408273,96900,272124,Africa
764,Thailand,18,34,19,527,1006,1438,10651922,13064685,27826191,Asia
626,Timor-Leste,,5,,,5,,,4505,,Asia
768,Togo,5,4,3,3,47,22,291905,188145,127610,Africa
780,Trinidad and Tobago,2,1,1,5,2,0,210,1200,150000,North America
788,Tunisia,1,5,2,37,45,13,152000,33508,30000,Africa
792,Turkey,10,22,8,475,247,89,1564911,161567,7029,Europe
795,Turkmenistan,1,,,0,,,420,,,Asia
800,Uganda,3,14,16,120,139,741,168700,793991,335564,Africa
826,UK,8,15,10,17,26,11,1930,380838,52995,Europe
804,Ukraine,6,6,3,27,49,11,2059570,538665,42519,Europe
784,United Arab Emirates,,,1,,,0,,,188,Asia
858,Uruguay,3,7,8,1,3,8,15500,136700,58673,South America
840,USA,52,57,40,382,314,335,648334,11325487,313857,North America
860,Uzbekistan,1,1,,24,0,,0,1500,,Asia
548,Vanuatu,,2,,,0,,,3951,,Oceania
862,Venezuela,8,12,10,30052,160,66,613521,134462,167465,South America
704,Vietnam,17,41,32,2237,2109,864,7442332,10996344,6816319,Asia
887,Yemen,7,16,9,446,412,178,317700,31434,159872,Asia
894,Zambia,1,,6,0,,13,1300000,,24525,Africa
716,Zimbabwe,1,,6,36,,165,0,,13022,Africa
